_id,FSA,BEV,PHEV,TotalEV
1,K0A,472,273,745
2,K0B,55,48,103
3,K0C,112,81,193
4,K0E,81,59,140
5,K0G,144,79,223
6,K0H,133,92,225
7,K0J,51,52,103
8,K0K,268,176,444
9,K0L,141,93,234
10,K0M,84,49,133
11,K1A,20,49,69
12,K1B,46,41,87
13,K1C,140,110,250
14,K1E,41,29,70
15,K1G,93,102,195
16,K1H,79,69,148
17,K1J,94,85,179
18,K1K,98,87,185
19,K1L,33,43,76
20,K1M,60,49,109
21,K1N,63,55,118
22,K1P,17,12,29
23,K1R,59,27,86
24,K1S,190,163,353
25,K1T,148,69,217
26,K1V,182,146,328
27,K1W,81,35,116
28,K1X,30,8,38
29,K1Y,151,75,226
30,K1Z,93,62,155
31,K2A,135,61,196
32,K2B,75,54,129
33,K2C,106,64,170
34,K2E,70,52,122
35,K2G,193,108,301
36,K2H,103,75,178
37,K2J,331,194,525
38,K2K,164,93,257
39,K2L,58,49,107
40,K2M,146,96,242
41,K2P,57,32,89
42,K2R,9,7,16
43,K2S,221,128,349
44,K2T,78,40,118
45,K2V,73,31,104
46,K2W,72,23,95
47,K4A,263,155,418
48,K4B,23,22,45
49,K4C,41,16,57
50,K4K,87,43,130
51,K4M,153,49,202
52,K4P,85,37,122
53,K4R,31,29,60
54,K6A,31,22,53
55,K6H,45,31,76
56,K6J,15,20,35
57,K6K,4,3,7
58,K6T,2,,2
59,K6V,48,40,88
60,K7A,24,15,39
61,K7C,65,39,104
62,K7G,25,12,37
63,K7H,59,44,103
64,K7K,74,48,122
65,K7L,112,84,196
66,K7M,118,91,209
67,K7N,16,9,25
68,K7P,89,47,136
69,K7R,30,19,49
70,K7S,40,17,57
71,K7V,20,12,32
72,K8A,26,25,51
73,K8B,,1,1
74,K8H,29,27,56
75,K8J,1,,1
76,K8N,67,44,111
77,K8P,21,30,51
78,K8R,8,8,16
79,K8V,51,43,94
80,K9A,80,60,140
81,K9H,55,43,98
82,K9J,97,74,171
83,K9K,33,21,54
84,K9L,21,19,40
85,K9V,34,19,53
86,L0A,63,28,91
87,L0B,62,40,102
88,L0C,32,14,46
89,L0E,52,35,87
90,L0G,225,98,323
91,L0H,5,7,12
92,L0J,72,14,86
93,L0K,105,56,161
94,L0L,219,75,294
95,L0M,125,42,167
96,L0N,13,6,19
97,L0P,91,25,116
98,L0R,378,226,604
99,L0S,259,160,419
100,L0T,1,,1
101,L1A,49,34,83
102,L1B,43,24,67
103,L1C,174,71,245
104,L1E,81,52,133
105,L1G,76,54,130
106,L1H,102,45,147
107,L1J,78,49,127
108,L1K,149,59,208
109,L1L,67,27,94
110,L1M,106,50,156
111,L1N,194,109,303
112,L1P,129,56,185
113,L1R,172,61,233
114,L1S,160,86,246
