_id,FSA,BEV,PHEV,TotalEV,City Name
1,K0A,622.0,306.0,928,Ottawa
2,K0B,66.0,52.0,118,Rockland
3,K0C,142.0,92.0,234,Cornwall
4,K0E,97.0,65.0,162,Brockville
5,K0G,176.0,96.0,272,Kemptville
6,K0H,171.0,112.0,283,Kingston
7,K0J,67.0,59.0,126,Pembroke
8,K0K,344.0,195.0,539,Belleville
9,K0L,190.0,104.0,294,Peterborough
10,K0M,125.0,50.0,175,Lindsay
11,K1A,23.0,54.0,77,Ottawa
12,K1B,63.0,47.0,110,Ottawa
13,K1C,158.0,131.0,289,Gloucester
14,K1E,49.0,27.0,76,Ottawa
15,K1G,116.0,102.0,218,Ottawa
16,K1H,97.0,83.0,180,Ottawa
17,K1J,122.0,98.0,220,Ottawa
18,K1K,118.0,93.0,211,Ottawa
19,K1L,37.0,47.0,84,Vanier
20,K1M,67.0,53.0,120,Ottawa
21,K1N,78.0,63.0,141,Ottawa
22,K1P,18.0,14.0,32,Ottawa
23,K1R,63.0,34.0,97,Ottawa
24,K1S,251.0,188.0,439,Ottawa
25,K1T,171.0,85.0,256,Ottawa
26,K1V,229.0,168.0,397,Ottawa
27,K1W,97.0,44.0,141,Ottawa
28,K1X,42.0,7.0,49,Ottawa
29,K1Y,171.0,87.0,258,Ottawa
30,K1Z,107.0,64.0,171,Ottawa
31,K2A,168.0,75.0,243,Ottawa
32,K2B,90.0,75.0,165,Ottawa
33,K2C,120.0,75.0,195,Ottawa
34,K2E,93.0,54.0,147,Ottawa
35,K2G,234.0,128.0,362,Ottawa
36,K2H,127.0,90.0,217,Ottawa
37,K2J,430.0,214.0,644,Ottawa
38,K2K,194.0,104.0,298,Kanata
39,K2L,66.0,50.0,116,Kanata
40,K2M,186.0,104.0,290,Kanata
41,K2P,75.0,37.0,112,Ottawa
42,K2R,15.0,9.0,24,Nepean
43,K2S,285.0,144.0,429,Stittsville
44,K2T,93.0,45.0,138,Kanata
45,K2V,95.0,34.0,129,Kanata
46,K2W,88.0,27.0,115,Ottawa
47,K4A,304.0,171.0,475,Unknown
48,K4B,35.0,25.0,60,Unknown
49,K4C,54.0,20.0,74,Unknown
50,K4K,112.0,53.0,165,Unknown
51,K4M,204.0,63.0,267,Unknown
52,K4P,107.0,43.0,150,Unknown
53,K4R,43.0,34.0,77,Unknown
54,K5M,1.0,,1,Unknown
55,K6A,40.0,24.0,64,Unknown
56,K6H,59.0,43.0,102,Unknown
57,K6J,21.0,21.0,42,Unknown
58,K6K,4.0,3.0,7,Unknown
59,K6T,2.0,,2,Unknown
60,K6V,54.0,46.0,100,Unknown
61,K7A,30.0,19.0,49,Unknown
62,K7C,82.0,42.0,124,Unknown
63,K7G,26.0,13.0,39,Unknown
64,K7H,74.0,46.0,120,Unknown
65,K7K,101.0,57.0,158,Unknown
66,K7L,136.0,95.0,231,Unknown
67,K7M,158.0,106.0,264,Unknown
68,K7N,22.0,12.0,34,Unknown
69,K7P,115.0,52.0,167,Unknown
70,K7R,34.0,20.0,54,Unknown
71,K7S,45.0,14.0,59,Unknown
72,K7V,26.0,14.0,40,Unknown
73,K8A,36.0,28.0,64,Unknown
74,K8H,42.0,34.0,76,Unknown
75,K8J,1.0,,1,Unknown
76,K8K,,1.0,1,Unknown
77,K8N,80.0,49.0,129,Unknown
78,K8P,29.0,33.0,62,Unknown
79,K8R,9.0,6.0,15,Unknown
80,K8V,65.0,53.0,118,Unknown
81,K9A,105.0,70.0,175,Unknown
82,K9H,63.0,48.0,111,Unknown
83,K9J,120.0,80.0,200,Unknown
84,K9K,50.0,22.0,72,Unknown
85,K9L,26.0,19.0,45,Unknown
86,K9V,50.0,25.0,75,Unknown
87,L0A,90.0,33.0,123,Unknown
88,L0B,75.0,39.0,114,Unknown
89,L0C,48.0,16.0,64,Unknown
90,L0E,63.0,39.0,102,Unknown
91,L0G,318.0,90.0,408,Unknown
92,L0H,10.0,6.0,16,Unknown
93,L0J,82.0,15.0,97,Unknown
94,L0K,163.0,63.0,226,Unknown
95,L0L,287.0,87.0,374,Unknown
96,L0M,161.0,53.0,214,Unknown
97,L0N,15.0,6.0,21,Unknown
98,L0P,121.0,28.0,149,Unknown
99,L0R,482.0,233.0,715,Unknown
100,L0S,366.0,193.0,559,Unknown
101,L0T,1.0,,1,Unknown
102,L1A,58.0,33.0,91,Unknown
103,L1B,56.0,30.0,86,Unknown
104,L1C,226.0,90.0,316,Unknown
105,L1E,103.0,51.0,154,Unknown
106,L1G,99.0,60.0,159,Unknown
107,L1H,132.0,43.0,175,Unknown
108,L1J,101.0,61.0,162,Unknown
109,L1K,209.0,70.0,279,Unknown
110,L1L,108.0,28.0,136,Unknown
111,L1M,148.0,56.0,204,Unknown
112,L1N,242.0,117.0,359,Unknown
113,L1P,196.0,61.0,257,Unknown
114,L1R,233.0,67.0,300,Unknown
115,L1S,227.0,92.0,319,Unknown
116,L1T,309.0,91.0,400,Unknown
117,L1V,331.0,111.0,442,Unknown
118,L1W,112.0,39.0,151,Unknown
119,L1X,185.0,45.0,230,Unknown
120,L1Y,27.0,11.0,38,Unknown
121,L1Z,241.0,93.0,334,Unknown
122,L2A,51.0,27.0,78,Unknown
123,L2E,42.0,25.0,67,Unknown
124,L2G,96.0,52.0,148,Unknown
125,L2H,127.0,57.0,184,Unknown
126,L2J,51.0,22.0,73,Unknown
127,L2M,54.0,43.0,97,Unknown
128,L2N,119.0,63.0,182,Unknown
129,L2P,45.0,20.0,65,Unknown
130,L2R,114.0,124.0,238,Unknown
131,L2S,71.0,43.0,114,Unknown
132,L2T,35.0,20.0,55,Unknown
133,L2V,77.0,21.0,98,Unknown
134,L2W,10.0,4.0,14,Unknown
135,L2Y,,1.0,1,Unknown
136,L3A,1.0,,1,Unknown
137,L3B,66.0,26.0,92,Unknown
138,L3C,85.0,48.0,133,Unknown
139,L3E,1.0,,1,Unknown
140,L3J,31.0,30.0,61,Unknown
141,L3K,44.0,24.0,68,Unknown
142,L3L,7.0,,7,Unknown
143,L3M,232.0,128.0,360,Unknown
144,L3N,1.0,,1,Unknown
145,L3P,334.0,111.0,445,Unknown
146,L3R,722.0,212.0,934,Unknown
147,L3S,289.0,78.0,367,Unknown
148,L3T,446.0,142.0,588,Unknown
149,L3V,143.0,87.0,230,Unknown
150,L3X,442.0,130.0,572,Unknown
151,L3Y,262.0,144.0,406,Unknown
152,L3Z,317.0,77.0,394,Unknown
153,L4A,594.0,165.0,759,Unknown
154,L4B,675.0,161.0,836,Unknown
155,L4C,682.0,188.0,870,Unknown
156,L4E,692.0,188.0,880,Unknown
157,L4G,738.0,232.0,970,Unknown
158,L4H,804.0,175.0,979,Unknown
159,L4J,642.0,196.0,838,Unknown
160,L4K,361.0,79.0,440,Unknown
161,L4L,394.0,100.0,494,Unknown
162,L4M,198.0,77.0,275,Unknown
163,L4N,480.0,153.0,633,Unknown
164,L4P,155.0,58.0,213,Unknown
165,L4R,47.0,23.0,70,Unknown
166,L4S,440.0,129.0,569,Unknown
167,L4T,99.0,40.0,139,Unknown
168,L4V,34.0,13.0,47,Unknown
169,L4W,290.0,91.0,381,Unknown
170,L4X,64.0,16.0,80,Unknown
171,L4Y,106.0,44.0,150,Unknown
172,L4Z,201.0,88.0,289,Unknown
173,L5A,109.0,33.0,142,Unknown
174,L5B,279.0,121.0,400,Unknown
175,L5C,170.0,63.0,233,Unknown
176,L5E,83.0,29.0,112,Unknown
177,L5G,210.0,90.0,300,Unknown
178,L5H,281.0,84.0,365,Unknown
179,L5J,191.0,82.0,273,Unknown
180,L5K,95.0,34.0,129,Unknown
181,L5L,300.0,118.0,418,Unknown
182,L5M,816.0,234.0,1050,Unknown
183,L5N,484.0,183.0,667,Unknown
184,L5P,3.0,8.0,11,Unknown
185,L5R,275.0,82.0,357,Unknown
186,L5S,49.0,10.0,59,Unknown
187,L5T,77.0,24.0,101,Unknown
188,L5V,318.0,78.0,396,Unknown
189,L5W,226.0,44.0,270,Unknown
190,L5X,1.0,,1,Unknown
191,L6A,847.0,172.0,1019,Unknown
192,L6B,440.0,76.0,516,Unknown
193,L6C,899.0,230.0,1129,Unknown
194,L6E,374.0,106.0,480,Unknown
195,L6G,79.0,20.0,99,Unknown
196,L6H,936.0,342.0,1278,Unknown
197,L6J,500.0,185.0,685,Unknown
198,L6K,183.0,115.0,298,Unknown
199,L6L,456.0,151.0,607,Unknown
200,L6M,934.0,293.0,1227,Unknown
201,L6N,1.0,,1,Unknown
202,L6P,828.0,135.0,963,Unknown
203,L6R,483.0,117.0,600,Unknown
204,L6S,193.0,96.0,289,Unknown
205,L6T,134.0,98.0,232,Unknown
206,L6V,132.0,54.0,186,Unknown
207,L6W,97.0,40.0,137,Unknown
208,L6X,477.0,107.0,584,Unknown
209,L6Y,668.0,146.0,814,Unknown
210,L6Z,137.0,63.0,200,Unknown
211,L7A,557.0,152.0,709,Unknown
212,L7B,356.0,66.0,422,Unknown
213,L7C,466.0,109.0,575,Unknown
214,L7E,280.0,87.0,367,Unknown
215,L7G,369.0,152.0,521,Unknown
216,L7H,2.0,,2,Unknown
217,L7J,93.0,43.0,136,Unknown
218,L7K,92.0,24.0,116,Unknown
219,L7L,425.0,207.0,632,Unknown
220,L7M,473.0,190.0,663,Unknown
221,L7N,131.0,56.0,187,Unknown
222,L7P,245.0,108.0,353,Unknown
223,L7R,144.0,97.0,241,Unknown
224,L7S,69.0,44.0,113,Unknown
225,L7T,142.0,76.0,218,Unknown
226,L8B,208.0,90.0,298,Unknown
227,L8E,236.0,107.0,343,Unknown
228,L8G,92.0,39.0,131,Unknown
229,L8H,48.0,31.0,79,Unknown
230,L8J,167.0,63.0,230,Unknown
231,L8K,65.0,51.0,116,Unknown
232,L8L,60.0,31.0,91,Unknown
233,L8M,31.0,33.0,64,Unknown
234,L8N,39.0,22.0,61,Unknown
235,L8P,81.0,76.0,157,Unknown
236,L8R,24.0,15.0,39,Unknown
237,L8S,51.0,35.0,86,Unknown
238,L8T,38.0,31.0,69,Unknown
239,L8V,29.0,31.0,60,Unknown
240,L8W,84.0,40.0,124,Unknown
241,L9A,77.0,37.0,114,Unknown
242,L9B,105.0,67.0,172,Unknown
243,L9C,154.0,94.0,248,Unknown
244,L9E,242.0,33.0,275,Unknown
245,L9G,241.0,122.0,363,Unknown
246,L9H,268.0,159.0,427,Unknown
247,L9J,26.0,5.0,31,Unknown
248,L9K,191.0,58.0,249,Unknown
249,L9L,79.0,26.0,105,Unknown
250,L9M,45.0,28.0,73,Unknown
251,L9N,259.0,62.0,321,Unknown
252,L9P,120.0,66.0,186,Unknown
253,L9R,131.0,39.0,170,Unknown
254,L9S,226.0,68.0,294,Unknown
255,L9T,872.0,251.0,1123,Unknown
256,L9V,77.0,43.0,120,Unknown
257,L9W,276.0,114.0,390,Unknown
258,L9X,113.0,39.0,152,Unknown
259,L9Y,186.0,78.0,264,Unknown
260,L9Z,91.0,37.0,128,Unknown
261,M1B,232.0,117.0,349,Unknown
262,M1C,240.0,82.0,322,Unknown
263,M1E,121.0,72.0,193,Unknown
264,M1G,51.0,25.0,76,Unknown
265,M1H,86.0,36.0,122,Unknown
266,M1J,56.0,21.0,77,Unknown
267,M1K,74.0,29.0,103,Unknown
268,M1L,79.0,32.0,111,Unknown
269,M1M,108.0,44.0,152,Unknown
270,M1N,99.0,59.0,158,Unknown
